Fp1,Fp2,C3,C4,P7,P8,O1,O2,time_board
-5626.49287301217,-187500.02235174447,8117.1701094114915,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.104142
-5574.681529364769,-187500.02235174447,8130.335286895667,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1081529
-5587.466727193204,-187500.02235174447,8120.388760613056,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.11214
-5631.343201558972,-187500.02235174447,8101.702702248419,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1161656
-5617.082788596486,-187500.02235174447,8109.056426174216,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1211393
-5568.847724061933,-187500.02235174447,8123.786225770263,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.124191
-5572.669872363791,-187500.02235174447,8117.952420467427,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.127194
-5617.373361274405,-187500.02235174447,8100.830984214662,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.13221
-5616.903974640843,-187500.02235174447,8109.503461063321,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.136151
-5570.077070006975,-187500.02235174447,8127.563670583209,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1402223
-5553.045040732031,-187500.02235174447,8122.1545484250255,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1442847
-5609.34908501495,-187500.02235174447,8100.182783625458,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1484103
-5636.0370678945865,-187500.02235174447,8102.909696449005,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1523852
-5587.600837659936,-187500.02235174447,8129.932955495472,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1553087
-5570.166476984797,-187500.02235174447,8128.971830483893,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.160336
-5612.388922260871,-187500.02235174447,8111.492766319843,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1642928
-5639.389829562882,-187500.02235174447,8112.900926220528,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1682923
-5599.9390005992655,-187500.02235174447,8131.318763651701,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1723013
-5568.423040917282,-187500.02235174447,8133.79980728624,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.1763203
-5604.074073323497,-187500.02235174447,8115.426673343978,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,1731452289.180319
